year,Carslberg,Diageo,Heineken,InBev,MolsonCoors,Others
2000,,4.5,2.5,3.2,,4.117647
2001,4.2,3.7954545,3.28,2.8802083,2.392857,3.9707952
2002,3.3945577,3.6415815,3.362782,2.9076617,2.8760245,3.8534973
2003,3.4287598,3.5617187,3.3729167,2.9418216,2.9962778,3.796493
2004,3.4692984,3.6229508,3.3517034,3.1349936,2.915638,3.8211923
2005,3.4824817,3.6022072,3.3924215,3.1140306,3.0470479,3.8294
2006,3.4798882,3.5845535,3.4019852,3.2208796,3.1781878,3.815081
2007,3.484832,3.664374,3.4185905,3.1552393,3.116233,3.818767
2008,3.411732,3.601453,3.5150583,3.1357646,3.1492064,3.8526998
2009,3.3860044,3.6259968,3.5797076,3.2573767,3.2563694,3.8743935
2010,3.3517964,3.6759655,3.5210395,3.1751893,3.252939,3.8718145
2011,3.2146912,3.4989247,3.2804098,3.3735998,3.0237603,3.8351476
2012,3.1658878,3.3862677,3.184478,3.3887866,3.078527,3.841678
2013,3.1350415,3.458188,3.2048416,3.5578916,3.171627,3.8895292
2014,3.2492378,3.469072,3.1579862,3.6074927,3.1505103,3.9422772
2015,3.192267,3.5224776,3.882721,3.513741,3.095161,3.9700813
2016,3.1954,3.4924731,3.8251886,3.5835965,3.3844166,3.9793124
